⇧⌘K   TAD-Action Menu
⇧⌥↓   TAD-Trash Note
⌃⇥    TAD-Toggle Last Two Modified Drafts
⌥←    TAD-Load Previous Workspace
⌥→    TAD-Load Next Workspace
⌥↑    TAD-Jump to End of Previous Line
⌥↓    TAD-Jump to Start of Next Line
⌥S    TAD-Replace with Synonym
⇧⌥F   Find
⌃⌥T   Tasks
⌘]    Indent
⌘[    Outdent
⌃\    Toggle Theme
⌃⌘H   Markdown Header (#)
⌘B    Markdown Bold (**)
⌘I    Markdown Emphasis (_)
⌘K    Markdown Link
⌥⌘P   Preview
⌘U    URL to Markdown Link
⌃⌘H   Markdown Header (#)
⌘B    Markdown Bold (**)
⌘I    Markdown Emphasis (_)
⇧⌘L   Markdown List
⌘K    Markdown Link
⌘P    Swiss Preview
⌥\    TAD-Toggle App Theme
⌥T    TAD-Toggle Typewriter Mode
⌃K    TAD-Search Actions
⌘2    Workspace Shortcut ⌘2
⌘3    Workspace Shortcut ⌘3
⌘4    Workspace Shortcut ⌘4
⌘5    Workspace Shortcut ⌘5
⌘6    Workspace Shortcut ⌘6
⌘7    Workspace Shortcut ⌘7
⌘8    Workspace Shortcut ⌘8
⌘9    Workspace Shortcut ⌘9
⌥C    Copy
⇧⌥M   Email to myself
⌘S    Share
⌥⌘S   Save to Files as...
⇧⌘B   Send to Bear
⇧⌥O   Save to OneNote
